Entity,Code,Date,Confirmed COVID-19 deaths per million people (deaths per million),Year,Population density (people per sq. km of land area) (Rate)
Andorra,AND,23-Apr-20,478.871,2017,163.7553191
Andorra,AND,24-Apr-20,478.871,2017,163.7553191
Andorra,AND,25-Apr-20,517.699,2017,163.7553191
Andorra,AND,26-Apr-20,517.699,2017,163.7553191
Andorra,AND,27-Apr-20,517.699,2017,163.7553191
Andorra,AND,28-Apr-20,517.699,2017,163.7553191
Andorra,AND,29-Apr-20,530.641,2017,163.7553191
Andorra,AND,30-Apr-20,543.584,2017,163.7553191
Andorra,AND,01-May-20,543.584,2017,163.7553191
Andorra,AND,02-May-20,556.526,2017,163.7553191
Andorra,AND,03-May-20,569.469,2017,163.7553191
Andorra,AND,04-May-20,582.411,2017,163.7553191
Andorra,AND,05-May-20,582.411,2017,163.7553191
Andorra,AND,06-May-20,595.354,2017,163.7553191
Andorra,AND,07-May-20,595.354,2017,163.7553191
Andorra,AND,08-May-20,608.296,2017,163.7553191
Andorra,AND,09-May-20,608.296,2017,163.7553191
Andorra,AND,10-May-20,621.239,2017,163.7553191
Andorra,AND,11-May-20,621.239,2017,163.7553191
Andorra,AND,12-May-20,621.239,2017,163.7553191
Andorra,AND,13-May-20,621.239,2017,163.7553191
Andorra,AND,14-May-20,634.181,2017,163.7553191
Andorra,AND,15-May-20,634.181,2017,163.7553191
Andorra,AND,16-May-20,634.181,2017,163.7553191
Andorra,AND,17-May-20,660.066,2017,163.7553191
Andorra,AND,18-May-20,660.066,2017,163.7553191
Andorra,AND,19-May-20,660.066,2017,163.7553191
Andorra,AND,20-May-20,660.066,2017,163.7553191
Andorra,AND,21-May-20,660.066,2017,163.7553191
Andorra,AND,22-May-20,660.066,2017,163.7553191
Andorra,AND,23-May-20,660.066,2017,163.7553191
Andorra,AND,24-May-20,660.066,2017,163.7553191
Andorra,AND,25-May-20,660.066,2017,163.7553191
Andorra,AND,26-May-20,660.066,2017,163.7553191
Andorra,AND,27-May-20,660.066,2017,163.7553191
Andorra,AND,28-May-20,660.066,2017,163.7553191
Andorra,AND,29-May-20,660.066,2017,163.7553191
Andorra,AND,30-May-20,660.066,2017,163.7553191
Angola,AGO,31-Dec-19,,2017,23.89042512
Angola,AGO,01-Jan-20,,2017,23.89042512
Angola,AGO,02-Jan-20,,2017,23.89042512
Angola,AGO,03-Jan-20,,2017,23.89042512
Angola,AGO,04-Jan-20,,2017,23.89042512
Angola,AGO,05-Jan-20,,2017,23.89042512
Angola,AGO,06-Jan-20,,2017,23.89042512
Angola,AGO,07-Jan-20,,2017,23.89042512
Angola,AGO,08-Jan-20,,2017,23.89042512
Angola,AGO,09-Jan-20,,2017,23.89042512
Angola,AGO,10-Jan-20,,2017,23.89042512
Angola,AGO,11-Jan-20,,2017,23.89042512
Angola,AGO,12-Jan-20,,2017,23.89042512
Angola,AGO,13-Jan-20,,2017,23.89042512
Angola,AGO,14-Jan-20,,2017,23.89042512
Angola,AGO,15-Jan-20,,2017,23.89042512
Angola,AGO,16-Jan-20,,2017,23.89042512
Angola,AGO,17-Jan-20,,2017,23.89042512
Angola,AGO,18-Jan-20,,2017,23.89042512
Angola,AGO,19-Jan-20,,2017,23.89042512
Angola,AGO,20-Jan-20,,2017,23.89042512
